Date,zenBidPrice,zenAskPrice,zenBidQty,zenAskQty,dashBidPrice,dashAskPrice,dashBidQty,dashAskQty

70-01-01/03-00-00.000,emp,emp,emp,emp,emp,emp,emp,emp
24-01-22/14-15-16.521,8.049,8.050,14.4,20.0,28.15,28.16,27.743,36.362
24-01-22/14-15-20.173,8.046,8.048,4.3,0.1,28.14,28.15,73.359,34.193
24-01-22/14-15-22.317,8.042,8.045,22.7,1.4,28.14,28.15,73.359,34.193
24-01-22/14-15-26.368,8.043,8.045,11.2,1.4,28.14,28.15,74.488,19.461
24-01-22/14-15-28.400,8.043,8.045,2.8,1.4,28.14,28.15,75.171,24.465
24-01-22/14-15-31.837,8.043,8.045,2.8,1.4,28.14,28.15,14.025,207.993
24-01-22/14-15-34.433,8.043,8.046,8.6,63.2,28.14,28.15,14.025,215.372
24-01-22/14-15-37.863,8.043,8.046,8.6,63.2,28.13,28.14,9.470,54.050
24-01-22/14-15-41.081,8.040,8.041,18.8,20.1,28.12,28.13,60.223,29.159
24-01-22/14-15-43.607,8.051,8.052,31.1,4.2,28.12,28.13,62.034,32.052
24-01-22/14-15-47.234,8.071,8.073,1322.4,186.0,28.12,28.13,67.367,34.760
24-01-22/14-15-49.942,8.083,8.084,23.3,97.0,28.13,28.14,0.759,15.810
24-01-22/14-15-53.235,8.084,8.085,4.1,11.8,28.13,28.14,16.440,7.962
24-01-22/14-15-56.280,8.083,8.086,19.5,175.0,28.13,28.14,27.093,3.560
24-01-22/14-15-59.033,8.089,8.090,721.2,70.8,28.13,28.14,28.214,7.189
24-01-22/14-16-01.836,8.082,8.084,224.3,18.8,28.13,28.14,22.164,11.675
24-01-22/14-16-05.342,8.065,8.066,12.0,548.0,28.13,28.14,8.633,15.929
24-01-22/14-16-07.629,8.064,8.066,37.4,548.0,28.13,28.14,15.732,15.929
24-01-22/14-16-11.138,8.061,8.062,4.2,246.4,28.15,28.16,21.877,51.778
24-01-22/14-16-14.169,8.061,8.063,30.7,11.2,28.15,28.16,33.693,3.216
24-01-22/14-16-16.806,8.058,8.059,40.6,2.0,28.15,28.16,37.610,9.486
24-01-22/14-16-19.863,8.054,8.056,34.8,12.5,28.15,28.16,34.059,14.528
24-01-22/14-16-23.352,8.055,8.057,58.9,10.0,28.15,28.16,40.876,15.053
24-01-22/14-16-26.242,8.057,8.059,25.3,38.4,28.15,28.16,38.416,14.736
24-01-22/14-16-29.213,8.054,8.056,7.8,19.7,28.15,28.16,39.621,12.538
24-01-22/14-16-31.899,8.053,8.056,38.1,13.4,28.16,28.17,53.498,1.397
24-01-22/14-16-34.513,8.053,8.056,12.3,13.4,28.16,28.17,46.412,1.397
24-01-22/14-16-38.143,8.052,8.056,39.7,12.3,28.17,28.18,49.270,15.134
24-01-22/14-16-40.801,8.053,8.055,34.1,35.0,28.17,28.18,49.625,17.476
24-01-22/14-16-43.810,8.057,8.058,36.1,34.0,28.18,28.19,26.153,57.476
24-01-22/14-16-47.275,8.048,8.051,36.0,10.3,28.18,28.19,25.879,55.660
24-01-22/14-16-50.140,8.038,8.039,419.9,4118.9,28.18,28.19,20.558,63.917
24-01-22/14-16-53.092,8.031,8.032,61.9,2211.7,28.17,28.18,33.129,26.123
24-01-22/14-16-56.111,8.027,8.029,1.6,10.0,28.16,28.17,5.632,20.675
24-01-22/14-16-59.052,8.029,8.032,69.1,14.3,28.15,28.16,15.390,10.367
